scenario,trades,wins,losses,win_pct,total_pnl,pnl_per_trade,markets
Backtester (1/market),96,52,44,54.17,128.86,1.3423,96
E5% C0s M1,96,52,44,54.17,128.86,1.3423,96
E5% C0s M5,477,256,221,53.67,704.83,1.4776,96
E5% C0s M10,952,510,442,53.57,1360.74,1.4293,96
E5% C0s M20,1902,938,964,49.32,1201.69,0.6318,96
E5% C0s Minf,70499,36407,34092,51.64,49165.22,0.6974,96
E5% C2s M1,96,52,44,54.17,128.86,1.3423,96
E5% C2s M5,476,235,241,49.37,350.46,0.7363,96
E5% C2s M10,949,422,527,44.47,6.27,0.0066,96
E5% C2s M20,1859,815,1044,43.84,-145.70,-0.0784,96
E5% C2s Minf,8251,4255,3996,51.57,4277.51,0.5184,96
E5% C5s M1,96,52,44,54.17,128.86,1.3423,96
E5% C5s M5,476,230,246,48.32,237.42,0.4988,96
E5% C5s M10,943,418,525,44.33,67.76,0.0719,96
E5% C5s M20,1753,796,957,45.41,10.73,0.0061,96
E5% C5s Minf,3927,2036,1891,51.85,1993.22,0.5076,96
E7% C0s M5,477,256,221,53.67,704.83,1.4776,96
E7% C0s M10,952,510,442,53.57,1360.74,1.4293,96
E7% C0s M20,1902,938,964,49.32,1201.69,0.6318,96
E7% C0s Minf,70499,36407,34092,51.64,49165.22,0.6974,96
E7% C2s M1,96,52,44,54.17,128.86,1.3423,96
E7% C2s M5,476,235,241,49.37,350.46,0.7363,96
E7% C2s M10,949,422,527,44.47,6.27,0.0066,96
E7% C2s M20,1859,815,1044,43.84,-145.70,-0.0784,96
E7% C2s Minf,8251,4255,3996,51.57,4277.51,0.5184,96
E7% C5s M1,96,52,44,54.17,128.86,1.3423,96
E7% C5s M5,476,230,246,48.32,237.42,0.4988,96
E7% C5s M10,943,418,525,44.33,67.76,0.0719,96
E7% C5s M20,1753,796,957,45.41,10.73,0.0061,96
E7% C5s Minf,3927,2036,1891,51.85,1993.22,0.5076,96
E10% C0s M1,95,42,53,44.21,48.59,0.5115,95
E10% C0s M5,472,199,273,42.16,119.13,0.2524,95
E10% C0s M10,937,361,576,38.53,-315.57,-0.3368,95
E10% C0s M20,1840,684,1156,37.17,-1193.74,-0.6488,95
E10% C0s Minf,49863,23762,26101,47.65,45822.73,0.9190,95
E10% C2s M1,95,42,53,44.21,48.59,0.5115,95
E10% C2s M5,463,183,280,39.52,-90.38,-0.1952,95
E10% C2s M10,891,353,538,39.62,-216.91,-0.2434,95
E10% C2s M20,1679,712,967,42.41,-233.59,-0.1391,95
E10% C2s Minf,5966,2846,3120,47.70,3887.75,0.6517,95
E10% C5s M1,95,42,53,44.21,48.59,0.5115,95
E10% C5s M5,461,184,277,39.91,-92.53,-0.2007,95
E10% C5s M10,868,366,502,42.17,-109.13,-0.1257,95
E10% C5s M20,1534,688,846,44.85,455.09,0.2967,95
E10% C5s Minf,2861,1379,1482,48.20,1892.66,0.6615,95
