model_name,p_bucket,predicted_avg,actual_win_rate,count
logistic_regression,55-65%,0.6232,0.9994,7256
logistic_regression,65-100%,0.7292,0.9994,18964
ornstein_uhlenbeck,0-35%,0.0160,0.9993,11703
ornstein_uhlenbeck,35-45%,0.3972,1.0000,94
ornstein_uhlenbeck,45-55%,0.5000,0.9995,1838
ornstein_uhlenbeck,55-65%,0.6063,1.0000,90
ornstein_uhlenbeck,65-100%,0.9842,0.9995,12495
brownian_bridge,0-35%,0.0480,0.9991,11935
brownian_bridge,35-45%,0.3980,1.0000,457
brownian_bridge,45-55%,0.4997,0.9995,2158
brownian_bridge,55-65%,0.6016,1.0000,399
brownian_bridge,65-100%,0.9519,0.9997,11271
black_scholes_digital,0-35%,0.0480,0.9991,11935
black_scholes_digital,35-45%,0.3980,1.0000,457
black_scholes_digital,45-55%,0.4997,0.9995,2158
black_scholes_digital,55-65%,0.6016,1.0000,399
black_scholes_digital,65-100%,0.9519,0.9997,11271
